ref_original,abstract,cited_by_count,gs_title
"C Mitchell, S Nash, G Hall (2008). The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34.1 (2008): 237-242.","A robust finding in humans and animals is that intermixed exposure to 2 similar stimuli (AX/BX) results in better discriminability of those stimuli on test than does exposure to 2 equally similar stimuli in 2 separate blocks (CX_DX)--the intermixed-blocked effect. This intermixed-blocked effect may be an example of the superiority of spaced over massed practice; in the intermixed, but not the blocked exposure regime, each presentation of a given stimulus (eg, AX) is separated from the next by the presentation of its partner (BX). Two experiments with human participants replicated the intermixed-blocked effect and showed that the effect was not due to the spacing of exposure trials. A mechanism for the intermixed-blocked effect is proposed, which combines theories from associative learning and memory.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",94,The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.
"Swami, V., Voracek, M., Stieger, S., Tran, U. S., & Furnham, A. (2014). Analytic thinking reduces belief in conspiracy theories. Cognition, 133 (3), 572–585. , Study 2","Belief in conspiracy theories has been associated with a range of negative health, civic, and social outcomes, requiring reliable methods of reducing such belief. Thinking dispositions have been highlighted as one possible factor associated with belief in conspiracy theories, but actual relationships have only been infrequently studied. In Study 1, we examined associations between belief in conspiracy theories and a range of measures of thinking dispositions in a British sample (N = 990). Results indicated that a stronger belief in conspiracy theories was significantly associated with lower analytic thinking and open-mindedness and greater intuitive thinking. In Studies 2–4, we examined the causational role played by analytic thinking in relation to conspiracist ideation. In Study 2 (N = 112), we showed that a verbal fluency task that elicited analytic thinking reduced belief in conspiracy theories. In Study 3 (N = 189), we found that an alternative method of eliciting analytic thinking, which related to cognitive disfluency, was effective at reducing conspiracist ideation in a student sample. In Study 4, we replicated the results of Study 3 among a general population sample (N = 140) in relation to generic conspiracist ideation and belief in conspiracy theories about the July 7, 2005, bombings in London. Our results highlight the potential utility of supporting attempts to promote analytic thinking as a means of countering the widespread acceptance of conspiracy theories.Elsevier",1027,[HTML][HTML] Analytic thinking reduces belief in conspiracy theories
"Derex, M., Beugin, M. P., Godelle, B., & Raymond, M. (2013). Experimental evidence for the influence of group size on cultural complexity. Nature, 503(7476), 389-391.","The remarkable ecological and demographic success of humanity is largely attributed to our capacity for cumulative culture,,. The accumulation of beneficial cultural innovations across generations is puzzling because transmission events are generally imperfect, although there is large variance in fidelity. Events of perfect cultural transmission and innovations should be more frequent in a large population. As a consequence, a large population size may be a prerequisite for the evolution of cultural complexity,, although anthropological studies have produced mixed results,,, and empirical evidence is lacking. Here we use a dual-task computer game to show that cultural evolution strongly depends on population size, as players in larger groups maintained higher cultural complexity. We found that when group size increases, cultural knowledge is less deteriorated, improvements to existing cultural traits are more frequent, and cultural trait diversity is maintained more often. Our results demonstrate how changes in group size can generate both adaptive cultural evolution and maladaptive losses of culturally acquired skills. As humans live in habitats for which they are ill-suited without specific cultural adaptations,, it suggests that, in our evolutionary past, group-size reduction may have exposed human societies to significant risks, including societal collapse.nature.com",408,Experimental evidence for the influence of group size on cultural complexity
"JL Risen, T Gilovich (2008). Why people are reluctant to tempt fate. Journal of Personality and Social Psychology, 95.2: 293-307.","The present research explored the belief that it is bad luck to “tempt fate.” Studies 1 and 2 demonstrated that people do indeed have the intuition that actions that tempt fate increase the likelihood of negative outcomes. Studies 3–6 examined our claim that the intuition is due, in large part, to the combination of the automatic tendencies to attend to negative prospects and to use accessibility as a cue when judging likelihood. Study 3 demonstrated that negative outcomes are more accessible following actions that tempt fate than following actions that do not tempt fate. Studies 4 and 5 demonstrated that the heightened accessibility of negative outcomes mediates the elevated perceptions of likelihood. Finally, Study 6 examined the automatic nature of the underlying processes. The types of actions that are thought to tempt fate as well as the role of society and culture in shaping this magical belief are discussed.American Psychological Association",205,[HTML][HTML] Why people are reluctant to tempt fate.
"Shrum, L. J., Lowrey, T. M., Luna, D., Lerman, D. B., and Liu, M. (2012). Sound symbolism effects across languages: implications for global brand names. Int. J. Res. Market. 29, 275–279. doi:",,180,[HTML][HTML] Sound symbolism effects across languages: Implications for global brand names
"Ramirez, G., & Beilock, S. L. (2011). Writing about testing worries boosts exam performance in the classroom. science, 331(6014), 211-213.","Two laboratory and two randomized field experiments tested a psychological intervention designed to improve students’ scores on high-stakes exams and to increase our understanding of why pressure-filled exam situations undermine some students’ performance. We expected that sitting for an important exam leads to worries about the situation and its consequences that undermine test performance. We tested whether having students write down their thoughts about an upcoming test could improve test performance. The intervention, a brief expressive writing assignment that occurred immediately before taking an important test, significantly improved students’ exam scores, especially for students habitually anxious about test taking. Simply writing about one’s worries before a high-stakes exam can boost test scores.AAAS",762,Writing about testing worries boosts exam performance in the classroom
"Schnall, S., Benton, J., & Harvey, S. (2008). With a clean conscience: Cleanliness reduces the severity of moral judgments. Psychological science, 19(12), 1219-1222.","Theories of moral judgment have long emphasized reasoning and conscious thought while downplaying the role of intuitive and contextual influences. However, recent research has demonstrated that incidental feelings of disgust can influence moral judgments and make them more severe. This study involved two experiments demonstrating that the reverse effect can occur when the notion of physical purity is made salient, thus making moral judgments less severe. After having the cognitive concept of cleanliness activated (Experiment 1) or after physically cleansing themselves after experiencing disgust (Experiment 2), participants found certain moral actions to be less wrong than did participants who had not been exposed to a cleanliness manipulation. The findings support the idea that moral judgment can be driven by intuitive processes, rather than deliberate reasoning. One of those intuitions appears to be physical purity, because it has a strong connection to moral purity.Sage Journals",767,With a clean conscience: Cleanliness reduces the severity of moral judgments
"Störmer, V. S., & Alvarez, G. A. (2016). Attention alters perceived attractiveness. Psychological Science, 27(4), 563-571.","Can attention alter the impression of a face? Previous studies showed that attention modulates the appearance of lower-level visual features. For instance, attention can make a simple stimulus appear to have higher contrast than it actually does. We tested whether attention can also alter the perception of a higher-order property—namely, facial attractiveness. We asked participants to judge the relative attractiveness of two faces after summoning their attention to one of the faces using a briefly presented visual cue. Across trials, participants judged the attended face to be more attractive than the same face when it was unattended. This effect was not due to decision or response biases, but rather was due to changes in perceptual processing of the faces. These results show that attention alters perceived facial attractiveness, and broadly demonstrate that attention can influence higher-level perception and may affect people’s initial impressions of one another.Sage Journals",66,Attention alters perceived attractiveness
"Suppes, P., & Schlag-Rey, M. (1965). Observable changes of hypotheses under positive reinforcement. Science, 148(3670), 661-662.","In mathematical models of concept learning it has consistently been assumed that positive reinforcement cannot lead to a change of the hypothesis determining the overt response. When hypotheses are experimentally identified and recorded along with positive and negative reinforcements of stimulus-response pairs, it can be shown that hypotheses may change after a positive reinforcement. Positive reinforcement has an information content for subjects that has not yet been adequately recognized in concept formation studies.AAAS",22,Observable changes of hypotheses under positive reinforcement
"Duncan, K., Sadanand, A., & Davachi, L. (2012). Memory’s penumbra: episodic memory decisions induce lingering mnemonic biases. Science, 337(6093), 485-487.","How do we decide if the people we meet and the things we see are familiar or new? If something is new, we need to encode it as a memory distinct from already stored episodes, using a process known as pattern separation. If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. To orchestrate these conflicting processes, current models propose that the episodic memory system uses environmental cues to establish processing biases that favor either pattern separation during encoding or pattern completion during retrieval. To assess this theory, we measured how people’s memory formation and decisions are influenced by their recent engagement in episodic encoding and retrieval. We found that the recent encoding of novel objects improved subsequent identification of subtle changes, a task thought to rely on pattern separation. Conversely, recent retrieval of old objects increased the subsequent integration of stored information into new memories, a process thought to rely on pattern completion. These experiments provide behavioral evidence that episodic encoding and retrieval evoke lingering biases that influence subsequent mnemonic processing.AAAS",177,Memory's penumbra: episodic memory decisions induce lingering mnemonic biases
"Huang, J. L. (2014). Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments. Frontiers in Psychology, 5, 1276.","Whether cleanliness influences moral judgments has recently become a topic of debate in the psychological literature. After the initial report that activating the notion of physical purity can result in less severe moral judgments , a direct replication  with much larger sample sizes failed to yield similar findings. The current paper examines the possibility that only non-conscious activation of the cleanliness concept, as achieved in participants with low response effort on priming materials, can produce the expected effect. An online replication (Study 1, N = 214) provided evidence that, when participants exerted low (yet still acceptable) levels of response effort to the experimental material, cleanliness priming led to more lenient moral judgments than neutral priming. An online experiment (Study 2, N = 440; replicated in Study 2a, N = 436) manipulating participants’ effort on the priming task (low vs. high) supported the hypothesized mechanism. Specifically, respondents in the low response effort group were instructed to complete the priming task as quickly as possible without too much attention, and the cleanliness priming resulted in less extreme moral judgments than the neutral condition as expected. In contrast, respondents in the high response effort group were instructed to perform to the best of their ability on the priming task, with a non-significant difference on moral ratings between cleanliness and neutral conditions. In addition to helping resolve the controversy regarding the cleanliness hypothesis, the current paper calls into attention the role of response effort in the execution and replication of priming studies.Frontiers",34,Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments
"Yeshurun, Y., & Levy, L. (2003). Transient spatial attention degrades temporal resolution. Psychological Science, 14(3), 225-231.","To better understand the interplay between the temporal and spatial components of visual perception, we studied the effects of transient spatial attention on temporal resolution. Given that spatial attention sharpens spatial resolution, can it also affect temporal resolution? To assess temporal resolution, we measured the two-flash fusion threshold. When two flashes of light are presented successively to the same location, the two-flash fusion threshold is the minimal interval between the flashes at which they are still perceived as two flashes, rather than a single flash. This assessment of temporal resolution was combined with peripheral precuing—a direct manipulation of transient spatial attention. This allowed us to demonstrate, for the first time, that spatial attention can indeed affect temporal resolution. However, in contrast to its effect on spatial resolution, spatial attention degrades temporal resolution. Two attentional mechanisms that could account for both attentional effects—enhanced spatial resolution and reduced temporal resolution—are discussed.Sage Journals",235,Transient spatial attention degrades temporal resolution
"Savani, K., Markus, H. R., Naidu, N. V. R., Kumar, S., & Berlia, N. (2010). What counts as a choice? US Americans are more likely than Indians to construe actions as choices. Psychological Science, 21(3), 391-398.","People everywhere select among multiple alternatives, but are they always making choices? In five studies, we found that people in U.S. American contexts, where the disjoint model of agency is prevalent, are more likely than those in Indian contexts to construe their own and other individuals’ behaviors as choices, to construe ongoing behaviors and behaviors recalled from memory as choices, to construe naturally occurring and experimentally controlled behaviors as choices, to construe mundane and important actions as choices, and to construe personal and interpersonal actions as choices. Indians showed a greater tendency to construe actions as choices when these actions involved responding to other people than when they did not. These findings show that whether people construe actions as choices is significantly shaped by sociocultural systems of meanings and practices. Together, they suggest that the positive consequences associated with maximizing the availability of personal choice may not be universal and instead may be limited to North American contexts.Sage Journals",245,What counts as a choice? US Americans are more likely than Indians to construe actions as choices
"Woodman, G. F., Kang, M. S., Thompson, K., & Schall, J. D. (2008). The effect of visual search efficiency on response preparation: neurophysiological evidence for discrete flow. Psychological science, 19(2), 128-136.","Most models assume that response time (RT) comprises the time required for successive processing stages, but they disagree about whether information is transmitted continuously or discretely between stages. We tested these alternative hypotheses by measuring when movement-related activity began in the frontal eye field (FEF) of macaque monkeys performing visual search. Previous work showed that RT was longer when visual neurons in FEF took longer to select the target, a finding consistent with prolonged perceptual processing during less efficient search. We now report that the buildup of saccadic movement-related activity in FEF is delayed in inefficient visual search. Variability in the delay of movement-related activity accounted for the difference in RT between search conditions and for the variability of RT within conditions. These findings provide neurophysiological support for the hypothesis that information is transmitted discretely between perceptual and response stages of processing during visual search. Sage Journals",91,The effect of visual search efficiency on response preparation: neurophysiological evidence for discrete flow
"Yousif, S. R., Aboody, R., & Keil, F. C. (2019). The illusion of consensus: A failure to distinguish between true and false consensus. Psychological Science, 30(8), 1195-1204.","When evaluating information, we cannot always rely on what has been presented as truth: Different sources might disagree with each other, and sometimes there may be no underlying truth. Accordingly, we must use other cues to evaluate information—perhaps the most salient of which is consensus. But what counts as consensus? Do we attend only to surface-level indications of consensus, or do we also probe deeper and consider why sources agree? Four experiments demonstrated that individuals evaluate consensus only superficially: Participants were equally confident in conclusions drawn from a true consensus (derived from independent primary sources) and a false consensus (derived from only one primary source). This phenomenon was robust, occurring even immediately after participants explicitly stated that a true consensus was more believable than a false consensus. This illusion of consensus reveals a powerful means by which misinformation may spread.Sage Journals",75,The illusion of consensus: A failure to distinguish between true and false consensus
"Schnall S., Benton J., & Harvey S. (2008). With a clean conscience: Cleanliness reduces the severity of moral judgments. <i>Psychological Science</i>, 19, 1219-1222.","Theories of moral judgment have long emphasized reasoning and conscious thought while downplaying the role of intuitive and contextual influences. However, recent research has demonstrated that incidental feelings of disgust can influence moral judgments and make them more severe. This study involved two experiments demonstrating that the reverse effect can occur when the notion of physical purity is made salient, thus making moral judgments less severe. After having the cognitive concept of cleanliness activated (Experiment 1) or after physically cleansing themselves after experiencing disgust (Experiment 2), participants found certain moral actions to be less wrong than did participants who had not been exposed to a cleanliness manipulation. The findings support the idea that moral judgment can be driven by intuitive processes, rather than deliberate reasoning. One of those intuitions appears to be physical purity, because it has a strong connection to moral purity.Sage Journals",767,With a clean conscience: Cleanliness reduces the severity of moral judgments
"Libby, L. K., Shaeffer, E. M., & Eibach, R. P. (2009). Seeing meaning in action: a bidirectional link between visual perspective and action identification level. Journal of Experimental Psychology: General, 138(4), 503.","Actions do not have inherent meaning but rather can be interpreted in many ways. The interpretation a person adopts has important effects on a range of higher order cognitive processes. One dimension on which interpretations can vary is the extent to which actions are identified abstractly—in relation to broader goals, personal characteristics, or consequences—versus concretely, in terms of component processes. The present research investigated how visual perspective (own 1st-person vs. observer’s 3rd-person) in action imagery is related to action identification level. A series of experiments measured and manipulated visual perspective in mental and photographic images to test the connection with action identification level. Results revealed a bidirectional causal relationship linking 3rd-person images and abstract action identifications. These findings highlight the functional role of visual imagery and have implications for understanding how perspective is involved in action perception at the social, cognitive, and neural levels.American Psychological Association",203,[HTML][HTML] Seeing meaning in action: A bidirectional link between visual perspective and action identification level.
"Jakesch, M., French, M., Ma, X., Hancock, J. T., & Naaman, M. (2019, May). AI-mediated communication: How the perception that profile text was written by AI affects trustworthiness. In Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems (pp. 1-13).","We are entering an era of AI-Mediated Communication (AI-MC) where interpersonal communication is not only mediated by technology, but is optimized, augmented, or generated by artificial intelligence. Our study takes a first look at the potential impact of AI-MC on online self-presentation. In three experiments we test whether people find Airbnb hosts less trustworthy if they believe their profiles have been written by AI. We observe a new phenomenon that we term the Replicant Effect: Only when participants thought they saw a mixed set of AI- and human-written profiles, they mistrusted hosts whose profiles were labeled as or suspected to be written by AI. Our findings have implications for the design of systems that involve AI technologies in online self-presentation and chart a direction for future work that may upend or augment key aspects of Computer-Mediated Communication theory.ACM Digital Library",219,AI-mediated communication: How the perception that profile text was written by AI affects trustworthiness
"Roelofs, K., Hagenaars, M. A., & Stins, J. (2010). Facing freeze: Social threat induces bodily freeze in humans. Psychological Science, 21, 1575–1581.","Freezing is a common defensive response in animals threatened by predators. It is characterized by reduced body motion and decreased heart rate (bradycardia). However, despite the relevance of animal defense models in human stress research, studies have not shown whether social threat cues elicit similar freeze-like responses in humans. We investigated body sway and heart rate in 50 female participants while they were standing on a stabilometric force platform and viewing cues that were socially threatening, socially neutral, and socially affiliative (angry, neutral, and happy faces, respectively). Posturographic analyses showed that angry faces (compared with neutral faces and happy faces) induced significant reductions in body sway. In addition, the reduced body sway for angry faces was accompanied by bradycardia and correlated significantly with subjective anxiety. Together, these findings indicate that spontaneous body responses to social threat cues involve freeze-like behavior in humans that mimics animal freeze responses. These findings open avenues for studying human freeze responses in relation to various sociobiological markers and social-affective disorders.Sage Journals",384,Facing freeze: social threat induces bodily freeze in humans
"Richeson, J. A., & Trawalter, S. (2008). The threat of appearing prejudiced and race-based attentional biases. Psychological Science, 19(2), 98-102.","The current work tested whether external motivation to respond without prejudice toward Blacks is associated with biased patterns of selective attention that reflect a threat response to Black individuals. In a dot-probe attentional bias paradigm, White participants with low and high external motivation to respond without prejudice toward Blacks (i.e., low-EM and high-EM individuals, respectively) were presented with pairs of White and Black male faces that bore either neutral or happy facial expressions; on each trial, the faces were displayed for either 30 ms or 450 ms. The findings were consistent with those of previous research on threat and attention: High-EM participants revealed an attentional bias toward neutral Black faces presented for 30 ms, but an attentional bias away from neutral Black faces presented for 450 ms. These attentional biases were eliminated, however, when the faces displayed happy expressions. These findings suggest that high levels of external motivation to avoid prejudice result in anxious arousal in response to Black individuals, and that this response affects even basic attentional processes.Sage Journals",204,The threat of appearing prejudiced and race-based attentional biases
"Campbell, J.I., & Robert, N.D. (2008). Bidirectional associations in multiplication memory: Conditions of negative and positive transfer. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 546-555.","A variety of experimental evidence indicates that the memory representation for multiplication facts (eg, 6× 9= 54) incorporates bidirectional links with a forward association from factors to product and a reverse association from product to factors. Surprisingly, the authors did not find evidence in Experiment 1 of facilitative transfer-of-practice from multiplication (6× 9=?) to factoring (54=?×?); in fact, multiplication practice produced item-specific interference with factoring. Similarly, the authors found no evidence in Experiment 2 that repetition of specific factoring problems (54=?×?) facilitated performance of corresponding multiplication problems (6× 9=?). In Experiment 3, participants practiced both multiplication and factoring and presented facilitative transfer in both directions. Thus, bidirectional facilitation occurred if both operations were practiced, but interference occurred when only one operation was practiced. We propose that this seemingly paradoxical behavior occurs because it is adaptive for the bidirectional retrieval structure to retain operational flexibility in the context of practicing both operations, whereas it is adaptive to specialize the memory representation for the practiced operation (ie, factoring or multiplication) when only one operation is practiced.American Psychological Association",26,[HTML][HTML] Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.
"Storm, B.C., Bjork, E.L., & Bjork, R.A. 2008. Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 230-236.","Research on retrieval-induced forgetting has demonstrated that retrieving some information from memory can cause the forgetting of other information in memory. Here, the authors report research on the relearning of items that have been subjected to retrieval-induced forgetting. Participants studied a list of category-exemplar pairs, underwent a series of retrieval-practice and relearning trials, and, finally, were tested on the initially studied pairs. The final recall of non-relearned items exhibited a cumulative effect of retrieval-induced forgetting such that the size of the effect increased with each block of retrieval practice. Of most interest, and very surprising from a common-sense standpoint, items that were relearned benefited more from that relearning if they had previously been forgotten. The results offer insights into the nature and durability of retrieval-induced forgetting and provide additional evidence that forgetting is an enabler--rather than a disabler--of future learning.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",124,Accelerated relearning after retrieval-induced forgetting: the benefit of being forgotten.
