"description","tags","contributors","result","ref_original","ref_replication"
"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).","Adult, Distance Perception, Environment, Female, Humans, Male, Perception, Questionnaires, Visual Perception","Foster","OS not significant","Alter, A.A., & Oppenheimer, D.M. (2008). Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle). Psychological Science, 19, 161-167.","Foster, J. D. (2023, September 28). Replication of Alter & Oppenheimmer (2008, PS, Study 2B). Retrieved from osf.io/kegmc"
"The representation of simple ensemble visual features outside the focus of attention","Adolescent, Adult, Attention, Humans, Visual Perception","Schlegelmilch","Success","Alvarez, G.A. & Oliva, A. (2008). The representation of simple ensemble visual features outside the focus of attention. Psychological Science, 19(4), 392-398.","Schlegelmilch, R., & van den Bergh, D. (2023, September 28). Replication of GA Alvarez, A Oliva (2008, PS 19(4), Exp. 3). Retrieved from osf.io/dnaxe"
"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.","African Americans, Analysis of Variance, Cognition, Conflict (Psychology), European Continental Ancestry Group, Evoked Potentials, Female, Group Processes, Humans, Inhibition (Psychology), Models, Psychological, Motivation, Neuropsychology, Prejudice, United States","Graham","Failure","Amodio, D. M., Devine, P. G., & Harmon-Jones, E. (2008). Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control. Journal of Personality and Social Psychology, 94(1), 60-74.","Johnson-Grey, K. M., Hayes, T. B., & Graham, J. (2023, September 28). Replication of Amodio, Devine, & Harmon-Jones (2008, JPSP, Study 2). Retrieved from osf.io/wkgpq"
"Peer status (men) is negatively correlated with negative emotionality.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Anderson, C., John, O. P., Keltner, D., & Kring, A. M. (2001). Who attains social status? Effects of personality and physical attractiveness in social groups. Journal of Personality and Social Psychology, 81, 116-132.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Peer status is positively correlated with extraversion.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Anderson, C., John, O. P., Keltner, D., & Kring, A. M. (2001). Who attains social status? Effects of personality and physical attractiveness in social groups. Journal of Personality and Social Psychology, 81, 116-132.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Sociometric status and well-being","Many Labs 2","Lukas Röseler","Failure","Anderson, C., Kraus, M. W., Galinsky, A. D., & Keltner, D. (2012). The local-ladder effect: Social status and subjective well-being. Psychological Science, 23, 764–771.  Study 3","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Prescribed optimism: Is it right to be wrong about the future?","Affect, Attitude, Coercion, Forecasting, Humans, Time Perception","Lassetter","Success","Armor, D.A., Massey, C., & Sackett, A.M. 2008. Prescribed optimism: Is it right to be wrong about the future? Psychological Science, 19, 329-331.","Lassetter, B., Brandt, M. J., van ’t Veer, A. E., & Mehta, P. (2023, September 28). Replication of Armor, Massey & Sackett (2008, PS, Study 1). Retrieved from osf.io/qlzap"
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived honesty.(Honest vs. Dishonest)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Failure","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived strength.(Strong vs. Weak)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Failure (reversal)","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more imaginative.(Imaginative vs. Hard-headed)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more altruistic.(Altruistic vs. Self-centred)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived restraint.(Talkative vs. Restrained)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Failure (reversal)","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived physical attractiveness. (Good-looking vs Unattractive)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","OS not significant","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more humane. (Humane vs. Ruthless)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived reliability. (Reliable vs. Unreliable)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Failure (reversal)","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more popular.(Popular vs. Unpopular)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more sociable (Sociable vs. Unsociable).","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more humorous (Humorous vs. Humourless).","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more good-natured (Good-natured vs. Irritable)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as happier (Happy vs. Unhappy)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as wiser.","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more generous (Generous vs. Ungenerous)","First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran","Success","Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1)."
"Coping is negatively correlated with negative emotionality.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Aspinwall, L. G., & Taylor, S. E. (1992). Modeling cognitive adaptation: A longitudinal investigation of the impact of individual differences and coping on college adjustment and performance. Journal of Personality and Social Psychology, 63(6), 989–1003.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Coping is positively correlated with extraversion.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Aspinwall, L. G., & Taylor, S. E. (1992). Modeling cognitive adaptation: A longitudinal investigation of the impact of individual differences and coping on college adjustment and performance. Journal of Personality and Social Psychology, 63(6), 989–1003.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Self-perceived expertise predicts claims of impossible knowledge","","LR","Success","Atir, S., Rosenzweig, E., & Dunning, D. (2015). When knowledge knows no bounds: Self-perceived expertise predicts claims of impossible knowledge. Psychological Science, 26(8), 1295-1303.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Seeking confirmation is rational for deterministic hypotheses","","LR","Failure","Austerweil, J. L., & Griffiths, T. L. (2011). Seeking confirmation is rational for deterministic hypotheses. Cognitive Science, 35(3), 499-526.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Body cues, not facial expressions, discriminate between intense positive and negative emotions","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Success","Aviezer, H., Trope, Y., & Todorov, A. (2012). Body cues, not facial expressions, discriminate between intense positive and negative emotions. Science, 338(6111), 1225-1229.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"The rejection of moral rebels: Resenting those who do the right thing.","Adult, Character, Culture, Defense Mechanisms, Female, Humans, Imagination, Judgment, Male, Morals, Prejudice, Rejection (Psychology), Self Concept, Social Conformity, Social Desirability, Social Perception, Social Responsibility","Holubar","Failure","B Monin, PJ Sawyer, MJ Marquez (2008). The rejection of moral rebels: resenting those who do the right thing. Journal of Personality and Social Psychology, 95.1: 76-93.","Frank, M. C., & Holubar, T. (2023, September 28). Replication of Monin, Sawyer, & Marquez (2008, JPSP 95(1), Exp. 4). Retrieved from osf.io/pz0my"
"Affirmative action policies promote women and do not harm effciency","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Success","Balafoutas, L., & Sutter, M. (2012). Affirmative action policies promote women and do not harm efficiency in the laboratory. Science, 335(6068), 579-582.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"texture representations in the human visual system","","LR","OS not significant","Balas, B. J. (2006). Texture synthesis and perception: Using computational models to study texture representations in the human visual system. Vision research, 46(3), 299-309.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","OS not significant","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","Failure","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Unethicality darkens perception of light","","Hetvi Bhatt","OS not significant","Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407-409.","Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, and Sinha (2012). Advances in Methods and Practices in Psychological Science."
"Stored word sequences in language learning","Attention, Child, Preschool, Female, Generalization (Psychology), Humans, Language Development, Male, Mental Recall, Reaction Time, Retention (Psychology), Semantics, Serial Learning, Speech Perception","","OS not significant","Bannard, C., & Matthews, D. (2008). Stored word sequences in language learning: The effect of familiarity on children's repetition of four-word combinations. Psychological science, 19(3), 241-248.",""
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.   (Study 3)"
"warmth embodiment (hot shower…","","","Success","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.  (Study 6)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.  (Study 5)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","Donnellan, M. & Lucas, Richard & Cesario, Joseph. (2014). On the Association Between Loneliness and Bathing Habits: Nine Replications of Bargh and Shalev (2012) Study 1. Emotion (Washington, D.C.). 15."
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.  (Study 7)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.  (Study 8)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.  (Study 2)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445."
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","Ferrell et al. (2013)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445."
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.  (Study 1)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.   (Study 4)"
"warmth embodiment (hot shower…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 1a","McDonald, M., Donnellan, M. B., Cesario, J., & Navarrete, C. (2015). Mate choice preferences in an intergroup context: evidence for a sexual coercion threat-management system among women. Evolution and Human Behavior, 36(6), 438–445.  (Study 9)"
"warmth embodiment (cold packs boost…","","","Failure","Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154. Study 2","Wortman, J., Donnellan, M. B., & Lucas, R. E. (2014). Can physical warmth (or coldness) predict trait loneliness? A replication of Bargh and Shalev (2012). Archives of Scientific Psychology, 2(1), 13–19."
"elderly priming","","","Failure","Bargh, J. A., Chen, M., & Burrows, L. (1996). Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action. Journal of Personality and Social Psychology, 71(2), 230–244.  Study 2a","Doyen, S., Klein, O., Pichon, C., & Cleeremans, A. (2012). Behavioral priming: it’s all in the mind, but whose mind? PLOS ONE, 7(1), e29081."
"elderly priming","","","Failure","Bargh, J. A., Chen, M., & Burrows, L. (1996). Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action. Journal of Personality and Social Psychology, 71(2), 230–244.  Study 2a","Pashler, H., Harris, C., & Coburn, N.. Elderly-Related Words Prime Slow Walking . (2011, September 15). Retrieved 04:36, September 23, 2017 from http://www.PsychFileDrawer.org/replication.php?attempt=MTU%3D"
"elderly priming","","","Failure","Bargh, J. A., Chen, M., & Burrows, L. (1996). Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action. Journal of Personality and Social Psychology, 71(2), 230–244.  Study 2a","Cesario et al. (2007) Study 2"
