,description,tags,contributors,result,ref_original,ref_replication,abstract,cited_by_count,gs_title
10,“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived honesty.(Honest vs. Dishonest),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Failure,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
11,“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived strength.(Strong vs. Weak),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Failure (reversal),"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
12,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more imaginative.(Imaginative vs. Hard-headed),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
13,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more altruistic.(Altruistic vs. Self-centred),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
14,“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived restraint.(Talkative vs. Restrained),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Failure (reversal),"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
15,“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived physical attractiveness. (Good-looking vs Unattractive),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",OS not significant,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
16,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more humane. (Humane vs. Ruthless),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
17,“Warm” vs. “Cold” person description does not produce differences of impression in terms of the perceived reliability. (Reliable vs. Unreliable),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Failure (reversal),"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
18,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more popular.(Popular vs. Unpopular),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
19,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more sociable (Sociable vs. Unsociable).,"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
20,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more humorous (Humorous vs. Humourless).,"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
21,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more good-natured (Good-natured vs. Irritable),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
22,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as happier (Happy vs. Unhappy),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
23,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as wiser.,"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
24,“Warm” vs. “Cold” person description produces differences of impression; “warm” person is perceived as more generous (Generous vs. Ungenerous),"First impression, Impression formation, Variation of a central quality in impression formation","Pavlović, Zoran",Success,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258-290. , Experiment 1","Pavlović, Z. (2023, April 8). First impression replication study (Asch, 1945, Experiment 1).",,7083.0,Forming impressions of personality.
25,Self-perceived expertise predicts claims of impossible knowledge,,LR,Success,"Atir, S., Rosenzweig, E., & Dunning, D. (2015). When knowledge knows no bounds: Self-perceived expertise predicts claims of impossible knowledge. Psychological Science, 26(8), 1295-1303.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","People overestimate their knowledge, at times claiming knowledge of concepts, events, and people that do not exist and cannot be known, a phenomenon called overclaiming. What underlies assertions of such impossible knowledge? We found that people overclaim to the extent that they perceive their personal expertise favorably. Studies 1a and 1b showed that self-perceived financial knowledge positively predicts claiming knowledge of nonexistent financial concepts, independent of actual knowledge. Study 2 demonstrated that self-perceived knowledge within specific domains (e.g., biology) is associated specifically with overclaiming within those domains. In Study 3, warning participants that some of the concepts they saw were fictitious did not reduce the relationship between self-perceived knowledge and overclaiming, which suggests that this relationship is not driven by impression management. In Study 4, boosting self-perceived expertise in geography prompted assertions of familiarity with nonexistent places, which supports a causal role for self-perceived expertise in claiming impossible knowledge.Sage Journals",206,When knowledge knows no bounds: Self-perceived expertise predicts claims of impossible knowledge
26,Seeking confirmation is rational for deterministic hypotheses,,LR,Failure,"Austerweil, J. L., & Griffiths, T. L. (2011). Seeking confirmation is rational for deterministic hypotheses. Cognitive Science, 35(3), 499-526.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."," The tendency to test outcomes that are predicted by our current theory (the confirmation bias) is one of the best‐known biases of human decision making. We prove that the confirmation bias is an optimal strategy for testing hypotheses when those hypotheses are deterministic, each making a single prediction about the next event in a sequence. Our proof applies for two normative standards commonly used for evaluating hypothesis testing: maximizing expected information gain and maximizing the probability of falsifying the current hypothesis. This analysis rests on two assumptions: (a) that people predict the next event in a sequence in a way that is consistent with Bayesian inference; and (b) when testing hypotheses, people test the hypothesis to which they assign highest posterior probability. We present four behavioral experiments that support these assumptions, showing that a simple Bayesian model can capture people's predictions about numerical sequences (Experiments 1 and 2), and that we can alter the hypotheses that people choose to test by manipulating the prior probability of those hypotheses (Experiments 3 and 4).Wiley Online Library",90.0,Seeking confirmation is rational for deterministic hypotheses
27,"Body cues, not facial expressions, discriminate between intense positive and negative emotions","Social Science Replication Project, Science, Nature, Human Behavior",Lukas Röseler,Success,"Aviezer, H., Trope, Y., & Todorov, A. (2012). Body cues, not facial expressions, discriminate between intense positive and negative emotions. Science, 338(6111), 1225-1229.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644.","The distinction between positive and negative emotions is fundamental in emotion models. Intriguingly, neurobiological work suggests shared mechanisms across positive and negative emotions. We tested whether similar overlap occurs in real-life facial expressions. During peak intensities of emotion, positive and negative situations were successfully discriminated from isolated bodies but not faces. Nevertheless, viewers perceived illusory positivity or negativity in the nondiagnostic faces when seen with bodies. To reveal the underlying mechanisms, we created compounds of intense negative faces combined with positive bodies, and vice versa. Perceived affect and mimicry of the faces shifted systematically as a function of their contextual body emotion. These findings challenge standard models of emotion expression and highlight the role of the body in expressing and perceiving emotions.AAAS",1040.0,"Body cues, not facial expressions, discriminate between intense positive and negative emotions"
28,The rejection of moral rebels: Resenting those who do the right thing.,"Adult, Character, Culture, Defense Mechanisms, Female, Humans, Imagination, Judgment, Male, Morals, Prejudice, Rejection (Psychology), Self Concept, Social Conformity, Social Desirability, Social Perception, Social Responsibility",Holubar,Failure,"B Monin, PJ Sawyer, MJ Marquez (2008). The rejection of moral rebels: resenting those who do the right thing. Journal of Personality and Social Psychology, 95.1: 76-93.","Frank, M. C., & Holubar, T. (2023, September 28). Replication of Monin, Sawyer, & Marquez (2008, JPSP 95(1), Exp. 4). Retrieved from osf.io/pz0my","Four studies document the rejection of moral rebels. In Study 1, participants who made a counterattitudinal speech disliked a person who refused on principle to do so, but uninvolved observers preferred this rebel to an obedient other. In Study 2, participants taking part in a racist task disliked a rebel who refused to go along, but mere observers did not. This rejection was mediated by the perception that rebels would reject obedient participants (Study 3), but did not occur when participants described an important trait or value beforehand (Study 4). Together, these studies suggest that rebels are resented when their implicit reproach threatens the positive self-image of individuals who did not rebel.American Psychological Association",472,[HTML][HTML] The rejection of moral rebels: resenting those who do the right thing.
29,Affirmative action policies promote women and do not harm effciency,"Social Science Replication Project, Science, Nature, Human Behavior",Lukas Röseler,Success,"Balafoutas, L., & Sutter, M. (2012). Affirmative action policies promote women and do not harm efficiency in the laboratory. Science, 335(6068), 579-582.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644.","Gender differences in choosing to enter competitions are one source of unequal labor market outcomes concerning wages and promotions. Given that studying the effects of policy interventions to support women is difficult with field data because of measurement problems and potential lack of control, we evaluated, in a set of controlled laboratory experiments, four interventions: quotas, where one of two winners of a competition must be female; two variants of preferential treatment, where a fixed increment is added to women’s performance; and repetition of the competition, where a second competition takes place if no woman is among the winners. Compared with no intervention, all interventions encourage women to enter competitions more often, and performance is at least equally good, both during and after the competition.AAAS",382.0,Affirmative action policies promote women and do not harm efficiency in the laboratory
30,texture representations in the human visual system,,LR,OS not significant,"Balas, B. J. (2006). Texture synthesis and perception: Using computational models to study texture representations in the human visual system. Vision research, 46(3), 299-309.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.",,112,[HTML][HTML] Texture synthesis and perception: Using computational models to study texture representations in the human visual system
31,Stored word sequences in language learning,"Attention, Child, Preschool, Female, Generalization (Psychology), Humans, Language Development, Male, Mental Recall, Reaction Time, Retention (Psychology), Semantics, Serial Learning, Speech Perception",,OS not significant,"Bannard, C., & Matthews, D. (2008). Stored word sequences in language learning: The effect of familiarity on children's repetition of four-word combinations. Psychological science, 19(3), 241-248.",,"Recent accounts of the development of grammar propose that children remember utterances they hear and draw generalizations over these stored exemplars. This study tested these accounts' assumption that children store utterances as wholes by testing memory for familiar sequences of words. Using a newly available, dense corpus of child-directed speech, we identified frequently occurring chunks in the input (e.g., sit in your chair) and matched them to infrequent sequences (e.g., sit in your truck). We tested young children's ability to produce these sequences in a sentence-repetition test. Three-year-olds (n = 21) and 2-year-olds (n = 17) were significantly more likely to repeat frequent sequences correctly than to repeat infrequent sequences correctly. Moreover, the 3-year-olds were significantly faster to repeat the first three words of an item if they formed part of a chunk (e.g., they were quicker to say sit in your when the following word was chair than when it was truck). We discuss the implications of these results for theories of language development and processing.Sage Journals",624,Stored word sequences in language learning: The effect of familiarity on children's repetition of four-word combinations
32,Priming addition facts with semantic relations.,"Adult, Attention, Female, Humans, Male, Mathematics, Mental Recall, Paired-Associate Learning, Problem Solving, Reaction Time, Semantics",Hung,Success,"Bassok, M., Pedigo, S.F., & Oskarsson, A.T (2008). Priming Addition Facts with Semantic Relations. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 343-352.","Hung, C. O., Lin, L., & Tsang, S. (2023, September 28). Replication of M Bassok, SF Pedigo, AT Oskarsson (2008, JEPLMC, Study 1). Retrieved from osf.io/sqim7","Results from 2 relational-priming experiments suggest the existence of an automatic analogical coordination between semantic and arithmetic relations. Word pairs denoting object sets served as primes in a task that elicits"" obligatory"" activation of addition facts (5+ 3 activates 8; J. LeFevre, J. Bisanz, & L. Mrkonjic, 1988). Semantic relations between the priming words were either aligned or misaligned with the structure of addition (M. Bassok, VM Chase, & SA Martin, 1998). Obligatory activation of addition facts occurred when the digits were primed by categorically related words (tulips-daisies), which are aligned with addition, but did not occur when the digits were primed by unrelated words (hens-radios, Experiment 1) or by functionally related words (records-songs, Experiment 2), which are misaligned with addition. These findings lend support to the viability of automatic analogical priming (BA Spellman, KJ Holyoak, & RG Morrison, 2001) and highlight the relevance of arithmetic applications to theoretical accounts of mental arithmetic.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",135.0,Priming addition facts with semantic relations.
33,Consumerism undermines trust,Many Labs 2,Lukas Röseler,Success,"Bauer, M. A., Wilkie, J. E., Kim, J. K., & Bodenhausen, G. V. (2012). Cuing consumerism: Situational materialism undermines personal and social well-being. Psychological Science, 23, 517–523.  Study 4","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490.","Correlational evidence indicates that materialistic individuals experience relatively low levels of well-being. Across four experiments, we found that situational cuing can also trigger materialistic mind-sets, with similarly negative personal and social consequences. Merely viewing desirable consumer goods resulted in increases in materialistic concerns and led to heightened negative affect and reduced social involvement (Experiment 1). Framing a computer task as a “Consumer Reaction Study” led to a stronger automatic bias toward values reflecting self-enhancement, compared with framing the same task as a “Citizen Reaction Study” (Experiment 2). Consumer cues also increased competitiveness (Experiment 3) and selfishness in a water-conservation dilemma (Experiment 4). Thus, the costs of materialism are not localized only in particularly materialistic people, but can also be found in individuals who happen to be exposed to environmental cues that activate consumerism—cues that are commonplace in contemporary society.Sage Journals",413,Cuing consumerism: Situational materialism undermines personal and social well-being
