ref_original,abstract,cited_by_count,gs_title
"Hajcak, G., & Foti, D. (2008). Errors are aversive: Defensive motivation and the error-related negativity. Psychological science, 19(2), 103-108.","The error-related negativity (ERN) is a negative deflection in the event-related potential that is maximal approximately 50 ms after the commission of an error. The ERN is generated in the anterior cingulate cortex, a region of the medial prefrontal cortex implicated in both cognitive and emotional processing. Affective and motivational variables influence the magnitude of the ERN, which suggests that the ERN may relate to emotional or motivational aspects of error detection. In the present study, we evaluated the possibility that errors prime defensive motivational responses, and that the ERN may predict the magnitude of defensive reactivity after errors. We found that (a) the defensive startle response was larger following errors than following correct responses, and (b) the magnitude of the ERN predicted the degree of startle potentiation following errors. Thus, response errors prime defensive motivation—and the ERN predicts individual differences in the aversive response to errors. Sage Journals",492,Errors are aversive: Defensive motivation and the error-related negativity
"Critcher, C. R., & Gilovich, T. (2008). Incidental environmental anchors. Journal of Behavioral Decision Making, 21, 241–251.  Study 2"," Three studies examined whether potential anchor values that are incidentally present in the environment can affect a person's numerical estimates. In Study 1, estimates of an athlete's performance were influenced by the number on his jersey. In Study 2, estimates of the proportion of sales in the domestic market were influenced by a product's model number. In Study 3, participants' estimates of how much they would spend at a restaurant were influenced by whether the restaurant was named “Studio 17” or “Studio 97.” These effects were not qualified by participants' expertise in the relevant domain (Study 1) or by their ability to subsequently recall the anchor value (Study 3). These findings document the existence of a new form of “basic anchoring” and suggest that not all basic anchoring effects are as fragile as the existing anchoring literature suggests. Copyright © 2007 John Wiley & Sons, Ltd.Wiley Online Library",317,Incidental environmental anchors
"Rütgen, M., Seidel, E. M., Silani, G., Riečanský, I., Hummer, A., Windischberger, C., ... & Lamm, C. (2015). Placebo analgesia and its opioidergic regulation suggest that empathy for pain is grounded in self pain. Proceedings of the National Academy of Sciences, 112(41), E5638-E5646 (empathy for pain ratings)","Empathy for pain activates brain areas partially overlapping with those underpinning the first-hand experience of pain. It remains unclear, however, whether such shared activations imply that pain empathy engages similar neural functions as first-hand pain experiences. To overcome the limitations of previous neuroimaging research, we pursued a conceptually novel approach: we used the phenomenon of placebo analgesia to experimentally reduce the first-hand experience of pain, and assessed whether this results in a concomitant reduction of empathy for pain. We first carried out a functional MRI experiment (n = 102) that yielded results in the expected direction: participants experiencing placebo analgesia also reported decreased empathy for pain, and this was associated with reduced engagement of anterior insular and midcingulate cortex: that is, areas previously associated with shared activations in pain and empathy for pain. In a second step, we used a psychopharmacological manipulation (n = 50) to determine whether these effects can be blocked via an opioid antagonist. The administration of the opioid antagonist naltrexone blocked placebo analgesia and also resulted in a corresponding “normalization” of empathy for pain. Taken together, these findings suggest that pain empathy may be associated with neural responses and neurotransmitter activity engaged during first-hand pain, and thus might indeed be grounded in our own pain experiences.pnas.org",253,Placebo analgesia and its opioidergic regulation suggest that empathy for pain is grounded in self pain
"Eskine KJ, Kacinik NA, Prinz JJ (2011). “A Bad Taste in the Mouth: Gustatory Disgust Influences Moral Judgment.”  _Psychological Science_, *22*(3), 295–299. ISSN 1467-9280,  <>, <>.","Can sweet-tasting substances trigger kind, favorable judgments about other people? What about substances that are disgusting and bitter? Various studies have linked physical disgust to moral disgust, but despite the rich and sometimes striking findings these studies have yielded, no research has explored morality in conjunction with taste, which can vary greatly and may differentially affect cognition. The research reported here tested the effects of taste perception on moral judgments. After consuming a sweet beverage, a bitter beverage, or water, participants rated a variety of moral transgressions. Results showed that taste perception significantly affected moral judgments, such that physical disgust (induced via a bitter taste) elicited feelings of moral disgust. Further, this effect was more pronounced in participants with politically conservative views than in participants with politically liberal views. Taken together, these differential findings suggest that embodied gustatory experiences may affect moral processing more than previously thought.Sage Journals",678,A bad taste in the mouth: Gustatory disgust influences moral judgment
"Morrison, Kimberly Rios, and Dale T. Miller. ""Distinguishing between silent and vocal minorities: Not all deviants feel marginal."" Journal of Personality and Social Psychology 94.5 (2008): 871","People's opinions can deviate from that of the average group member in two ways. Descriptive deviants diverge from the average group attitude in a direction consistent with the desirable group attitude; prescriptive deviants diverge from the average group attitude in a direction inconsistent with the desirable group attitude. Three studies tested the hypothesis that descriptive deviants are more willing to express their opinions than either nondeviants or prescriptive deviants. Study 1 found that college students reported more comfort in expressing descriptive deviant opinions because descriptive deviance induced feelings of superior conformity (ie, being “different but good”). Study 2 found that descriptive deviants reported more pride after expressing their opinions, were rated as more proud by an observer, and were more willing to publicize their opinions. Study 3 showed that political bumper stickers with descriptive deviant messages were displayed disproportionately more frequently than were those with prescriptive deviant messages.American Psychological Association",77,[HTML][HTML] Distinguishing between silent and vocal minorities: Not all deviants feel marginal.
"Vul, E., Nieuwenstein, M., & Kanwisher, N. (2008). Temporal selection is suppressed, delayed, and diffused during the attentional blink. Psychological Science, 19(1), 55-61.","How does temporal selection work, and along what dimensions does it vary from one instance to the next? We explored these questions using a phenomenon in which temporal selection goes awry. In the attentional blink, subjects fail to report the second of a pair of targets (T1 and T2) when they are presented at stimulus onset asyn-chronies (SOAs) of roughly 200 to 500 ms. We directly tested the properties of temporal selection during the blink by analyzing distractor intrusions at a fast rate of item presentation. Our analysis shows that attentional selection is (a) suppressed, (b) delayed, and (c) diffused in time during the attentional blink. These effects are dissociated by their time course: The measure of each effect returns to the baseline value at a different SOA. Our results constrain theories of the attentional blink and indicate that temporal selection varies along at least three dissociable dimensions: efficacy, latency, and precision.Sage Journals",122,"Temporal selection is suppressed, delayed, and diffused during the attentional blink"
"Read, D., & Scholten, M. (2012). Tradeoffs between sequences: Weighing accumulated outcomes against outcome-adjusted delays. Journal of Experimental Psychology: Learning, Memory, and Cognition, 38(6), 1675.","We extend the recently proposed tradeoff model of intertemporal choice (Scholten & Read, 2010) from choices between pairs of single outcomes to pairwise choices involving two-outcome sequences. The core of our proposal is that choices between sequences are made by weighing accumulated outcomes against outcome-adjusted delays. Thus extended, the tradeoff model offers a unified account of recently discovered anomalies in pairwise choices involving two-outcome sequences, including (a) the hidden-zero effect, in which explicit reference to the zero outcomes of the options increases patience,(b) the front-end amount effect, in which the addition of a front-end amount to both options decreases patience, and (c) the mere token effect, in which the addition of an early outcome to both options increases patience. Not only does the extended tradeoff model accommodate these anomalies, it also correctly predicts (d) violations of independence,(e) a reversal of the front-end amount effect,(f) the effect of relocating the front-end amount to the back end of both options, and (g) a dependence of the “mere” token effect on the magnitude of the token. In quantitative analyses, the extended tradeoff model offers an accurate account of the data.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",44,Tradeoffs between sequences: Weighing accumulated outcomes against outcome-adjusted delays.
"Savani, K., & Rattan, A. (2012). A choice mind-set increases the acceptance and maintenance of wealth inequality. Psychological science, 23(7), 796-804.","Wealth inequality has significant psychological, physiological, societal, and economic costs. In six experiments, we investigated how seemingly innocuous, culturally pervasive ideas can help maintain and further wealth inequality. Specifically, we tested whether the concept of choice, which is deeply valued in American society, leads Americans to act in ways that perpetuate wealth inequality. Thinking in terms of choice, we argue, activates the belief that life outcomes stem from personal agency, not societal factors, and thereby leads people to justify wealth inequality. The results showed that highlighting the concept of choice makes people less disturbed by facts about existing wealth inequality in the United States, more likely to underestimate the role of societal factors in individuals’ successes, less likely to support the redistribution of educational resources, and less likely to support raising taxes on the rich—even if doing so would help resolve a budget deficit crisis. These findings indicate that the culturally valued concept of choice contributes to the maintenance of wealth inequality.Sage Journals",135,A choice mind-set increases the acceptance and maintenance of wealth inequality
"Lee, S. W., & Schwarz, N. (2010). Washing away postdecisional dissonance. Science, 328(5979), 709-709.","After choosing between two alternatives, people perceive the chosen alternative as more attractive and the rejected alternative as less attractive. This postdecisional dissonance effect was eliminated by cleaning one’s hands. Going beyond prior purification effects in the moral domain, physical cleansing seems to more generally remove past concerns, resulting in a metaphorical “clean slate” effect.AAAS",297,Washing away postdecisional dissonance
"Endress, A. D., & Hauser, M. D. (2009). Syntax-induced pattern deafness. Proceedings of the National Academy of Sciences, 106(49), 21001-21006.","Perceptual systems often force systematically biased interpretations upon sensory input. These interpretations are obligatory, inaccessible to conscious control, and prevent observers from perceiving alternative percepts. Here we report a similarly impenetrable phenomenon in the domain of language, where the syntactic system prevents listeners from detecting a simple perceptual pattern. Healthy human adults listened to three-word sequences conforming to patterns readily learned even by honeybees, rats, and sleeping human neonates. Specifically, sequences either started or ended with two words from the same syntactic category (e.g., noun–noun–verb or verb–verb–noun). Although participants readily processed the categories and learned repetition patterns over nonsyntactic categories (e.g., animal–animal–clothes), they failed to learn the repetition pattern over syntactic categories, even when explicitly instructed to look for it. Further experiments revealed that participants successfully learned the repetition patterns only when they were consistent with syntactically possible structures, irrespective of whether these structures were attested in English or in other languages unknown to the participants. When the repetition patterns did not match such syntactically possible structures, participants failed to learn them. Our results suggest that when human adults hear a string of nouns and verbs, their syntactic system obligatorily attempts an interpretation (e.g., in terms of subjects, objects, and predicates). As a result, subjects fail to perceive the simpler pattern of repetitions—a form of syntax-induced pattern deafness that is reminiscent of how other perceptual systems force specific interpretations upon sensory input.pnas.org",19,Syntax-induced pattern deafness
"Knobe, J. (2003). Intentional action in folk psychology: An experimental investigation. Philosophical Psychology, 16(2), 309-324."," Four experiments examined people's folk-psychological concept of intentional action. The chief question was whether or not evaluative considerations--considerations of good and bad, right and wrong, praise and blame--played any role in that concept. The results indicated that the moral qualities of a behavior strongly influence people's judgments as to whether or not that behavior should be considered ""intentional."" After eliminating a number of alternative explanations, the author concludes that this effect is best explained by the hypothesis that evaluative considerations do play some role in people's concept of intentional action.Taylor & Francis Online",696,Intentional action in folk psychology: An experimental investigation
"Ranzini, M., Dehaene, S., Piazza, M., & Hubbard, E. M. (2009). Neural mechanisms of attentional shifts due to irrelevant spatial and numerical cues. Neuropsychologia, 47(12), 2615-2624.","Studies of endogenous (cue-directed) attention have traditionally assumed that such shifts must be volitional. However, recent behavioural experiments have shown that participants make automatic endogenous shifts of attention when presented with symbolic cues that are systematically associated with particular spatial directions, such as arrows and numerals, even when such cues were not behaviourally relevant. Here we used event-related potentials (ERPs) to test whether these automatic shifts of attention use the same mechanisms as volitional shifts of attention. We presented participants with non-predictive (50% valid) task-irrelevant arrow and numeral cues while measuring cue- and target-locked ERPs. Although the cues were task-irrelevant, they elicited attention-related ERP components previously found in studies that used informative and/or task-relevant cues. These findings further substantiate the dissociation between endogenous and volitional attentional control, and suggest that the same fronto-parietal networks involved in volitional shifts of attention are also involved in reflexive endogenous shifts of attention.Elsevier",116,[HTML][HTML] Neural mechanisms of attentional shifts due to irrelevant spatial and numerical cues
"Nishi, A., Shirado, H., Rand, D. G., & Christakis, N. A. (2015). Inequality and visibility of wealth in experimental social networks. Nature, 526(7573), 426-429.","Humans prefer relatively equal distributions of resources,,,,, yet societies have varying degrees of economic inequality. To investigate some of the possible determinants and consequences of inequality, here we perform experiments involving a networked public goods game in which subjects interact and gain or lose wealth. Subjects (n = 1,462) were randomly assigned to have higher or lower initial endowments, and were embedded within social networks with three levels of economic inequality (Gini coefficient = 0.0, 0.2, and 0.4). In addition, we manipulated the visibility of the wealth of network neighbours. We show that wealth visibility facilitates the downstream consequences of initial inequality—in initially more unequal situations, wealth visibility leads to greater inequality than when wealth is invisible. This result reflects a heterogeneous response to visibility in richer versus poorer subjects. We also find that making wealth visible has adverse welfare consequences, yielding lower levels of overall cooperation, inter-connectedness, and wealth. High initial levels of economic inequality alone, however, have relatively few deleterious welfare effects.nature.com",465,Inequality and visibility of wealth in experimental social networks
"Cian, L., Krishna, A., and Elder, R. S. (2014). This logo moves me: dynamic imagery from static images. J. Market. Res. 51, 184–197. doi:  13.0023 Study 1","The authors propose that static visuals can evoke a perception of movement (i.e., dynamic imagery) and thereby affect consumer engagement and attitudes. Focusing on brand logos as the static visual element, the authors measure the perceived movement evoked by the logo and demonstrate that the evoked dynamic imagery affects the level of consumer engagement with the brand logo. They measure consumer engagement through both self-report measures and eye-tracking technology and find that engagement affects consumer attitudes toward the brand. The authors also show that the perceived movement–engagement–attitude effect is moderated by the congruence between perceived movement and brand characteristics. These findings suggest that dynamic imagery is an important aspect of logo design, and if used carefully, it can enhance brand attitudes.Sage Journals",409,This logo moves me: Dynamic imagery from static images
"P.A. Goff, C.M. Steele, & P.G. Davies, 2008. The space between us: Stereotype threat and distance in interracial contexts. Journal of Personality and Social Psychology, 94, 91-107.","Four studies investigate the role that stereotype threat plays in producing racial distancing behavior in an anticipated conversation paradigm. It was hypothesized that the threat of appearing racist may have the ironic effect of causing Whites to distance themselves from Black conversation partners. In Study 1, participants distanced themselves more from Black partners under conditions of threat, and this distance correlated with the activation of a"" White racist"" stereotype. In Study 2, it was demonstrated that Whites' interracial distancing behavior was not predicted by explicit or implicit prejudice. Study 3 provides evidence that conceiving of interracial interactions as opportunities to learn may attenuate the negative consequences of threat for Whites. Study 4 found that Whites have conscious access to their experience of stereotype threat and that this awareness may mediate the relationship between threat and distance. These results are discussed within a broader discourse of racial distancing and the possibility that certain identity threats may be as important as prejudice in determining the outcomes of interracial interactions.(PsycInfo Database Record (c) 2020 APA, all rights reserved)American Psychological Association",673,The space between us: stereotype threat and distance in interracial contexts.
"Janssen, M. A., Holahan, R., Lee, A., & Ostrom, E. (2010). Lab experiments for the study of social-ecological systems. Science, 328(5978), 613-617.","Governance of social-ecological systems is a major policy problem of the contemporary era. Field studies of fisheries, forests, and pastoral and water resources have identified many variables that influence the outcomes of governance efforts. We introduce an experimental environment that involves spatial and temporal resource dynamics in order to capture these two critical variables identified in field research. Previous behavioral experiments of commons dilemmas have found that people are willing to engage in costly punishment, frequently generating increases in gross benefits, contrary to game-theoretical predictions based on a static pay-off function. Results in our experimental environment find that costly punishment is again used but lacks a gross positive effect on resource harvesting unless combined with communication. These findings illustrate the importance of careful generalization from the laboratory to the world of policy.AAAS",472,Lab experiments for the study of social-ecological systems
"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet (2008). Not so innocent: does seeing one's own capacity for wrongdoing predict forgiveness? Journal of Personality and Social Psychology: 94.3: 495-515.","People are more forgiving toward transgressors if they see themselves as capable of committing similar offenses, as demonstrated in 7 studies. Methods included hypothetical scenarios, actual recalled offenses, individual and group processes, and correlational and experimental designs. Three factors mediated the link between personal capability and forgiveness: seeing the other's offense as less severe, greater empathic understanding, and perceiving oneself as similar to the transgressor. In terms of predicting forgiveness, it was important that people's own offenses were similar to the target offense in terms of both severity and type. The personal capability effect was independent of other established predictors of forgiveness and was more pronounced among men than women.(PsycINFO Database Record (c) 2019 APA, all rights reserved)American Psychological Association",261,Not so innocent: Does seeing one's own capability for wrongdoing predict forgiveness?
"Konkle, T., & Oliva, A. (2011). Canonical visual size for real-world objects. Journal of Experimental Psychology: human perception and performance, 37(1), 23.","Real-world objects can be viewed at a range of distances and thus can be experienced at a range of visual angles within the visual field. Given the large amount of visual size variation possible when observing objects, we examined how internal object representations represent visual size information. In a series of experiments which required observers to access existing object knowledge, we observed that real-world objects have a consistent visual size at which they are drawn, imagined, and preferentially viewed. Importantly, this visual size is proportional to the logarithm of the assumed size of the object in the world, and is best characterized not as a fixed visual angle, but by the ratio of the object and the frame of space around it. Akin to the previous literature on canonical perspective, we term this consistent visual size information the canonical visual size.American Psychological Association",181,[HTML][HTML] Canonical visual size for real-world objects.
"Duke, A. A., & Bègue, L. (2015). The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas. Cognition, 134, 121–127.  cognition.2014.09.006 Study 1","The hypothetical moral dilemma known as the trolley problem has become a methodological cornerstone in the psychological study of moral reasoning and yet, there remains considerable debate as to the meaning of utilitarian responding in these scenarios. It is unclear whether utilitarian responding results primarily from increased deliberative reasoning capacity or from decreased aversion to harming others. In order to clarify this question, we conducted two field studies to examine the effects of alcohol intoxication on utilitarian responding. Alcohol holds promise in clarifying the above debate because it impairs both social cognition (i.e., empathy) and higher-order executive functioning. Hence, the direction of the association between alcohol and utilitarian vs. non-utilitarian responding should inform the relative importance of both deliberative and social processing systems in influencing utilitarian preference. In two field studies with a combined sample of 103 men and women recruited at two bars in Grenoble, France, participants were presented with a moral dilemma assessing their willingness to sacrifice one life to save five others. Participants’ blood alcohol concentrations were found to positively correlate with utilitarian preferences (r = .31, p < .001) suggesting a stronger role for impaired social cognition than intact deliberative reasoning in predicting utilitarian responses in the trolley dilemma. Implications for Greene’s dual-process model of moral reasoning are discussed.Elsevier",162,[HTML][HTML] The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas
"Jones, L. L., & Estes, Z. (2006). Roosters, robins, and alarm clocks: Aptness and conventionality in metaphor comprehension. Journal of Memory and Language, 55(1), 18-32.","Bowdle and Gentner (2005) proposed a reconciliation of the comparison and categorization models of metaphor comprehension. Their career of metaphor model posits that, as a metaphorical term becomes more conventional, its mode of processing shifts from comparison to categorization. However, other recent studies (Chiappe, Kennedy, & Chiappe, 2003; Jones & Estes, 2005) suggest instead that aptness may mediate metaphorical processing. We empirically contrasted conventionality and aptness to examine their roles in metaphor comprehension. Aptness predicted the preference for metaphors over similes (Experiment 1), the speed and ease of metaphor comprehension (Experiment 2), and the category membership of metaphorical terms (Experiment 3). Conventionality did not reliably predict any of these aspects of metaphorical processing. Thus, results supported the categorization model, and failed to support the career of metaphor.Elsevier",210,"[HTML][HTML] Roosters, robins, and alarm clocks: Aptness and conventionality in metaphor comprehension"
"D Albarracín, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart (2008). Increasing and decreasing motor and cognitive output: a model of general action and inaction goals. Journal of Personality and Social Psychology, 95.3: 510-523.","General action and inaction goals can influence the amount of motor or cognitive output irrespective of the type of behavior in question, with the same stimuli producing trivial and important motor and cognitive manifestations normally viewed as parts of different systems. A series of experiments examined the effects of instilling general action and inaction goals using word primes, such as “action” and “rest.” The first 5 experiments showed that the same stimuli influenced motor output, such as doodling on a piece of paper and eating, as well as cognitive output, such as recall and problem solving. The last 2 experiments supported the prediction that these diverse effects can result from the instigation of general action and inaction goals. Specifically, these last 2 studies confirmed that participants were motivated to achieve active or inactive states and that attaining them decreased the effects of the primes on behavior.American Psychological Association",141,[HTML][HTML] Increasing and decreasing motor and cognitive output: a model of general action and inaction goals.
